id,age,workclass,education,educationnum,maritalstatus,occupation,relationship,race,sex,capitalgain,capitalloss,hoursperweek,nativecountry
58,18,4,8,10,2,8,0,4,1,0,0,39,33
59,24,4,11,8,2,1,0,4,1,0,0,47,39
60,13,4,11,8,2,7,0,4,1,79,0,39,39
61,13,4,9,12,2,12,0,4,1,36,0,39,39
62,15,0,5,3,3,0,1,4,1,0,0,39,0
63,31,4,11,8,2,14,0,4,1,0,0,39,39
64,25,4,10,15,2,10,0,4,1,0,0,44,39
65,12,4,15,9,0,13,1,4,1,0,0,57,39
66,19,4,11,8,2,3,0,4,1,0,0,39,39
67,11,4,15,9,0,1,1,4,0,0,0,39,39
68,36,4,11,8,2,1,5,4,0,0,0,39,39
69,32,5,15,9,2,4,0,4,1,0,0,49,39
70,8,0,15,9,4,0,3,4,1,0,0,39,39
71,2,4,15,9,4,10,3,4,1,0,0,31,39
72,14,4,9,12,5,12,3,2,0,0,0,39,39
73,12,6,9,12,2,12,0,4,1,0,0,69,39
74,6,4,15,9,4,7,1,4,1,0,0,39,39
75,62,4,15,9,2,10,2,4,1,0,0,19,39
76,10,4,11,8,4,8,3,4,1,0,0,39,26
77,23,4,7,11,2,1,0,4,1,0,0,39,39
78,50,0,0,5,2,0,0,4,1,0,0,1,39
79,1,4,1,6,4,8,3,4,0,0,0,21,39
80,14,2,5,3,2,5,0,4,1,0,0,39,39
81,1,4,11,8,4,12,1,4,1,0,0,29,39
82,35,4,9,12,2,8,0,4,1,0,0,39,5
83,29,4,11,8,2,8,5,4,0,0,0,39,39
84,42,4,11,8,2,12,0,4,1,0,0,47,39
85,27,4,11,8,0,3,1,4,0,110,0,39,39
86,36,4,11,8,0,12,3,4,0,0,0,34,39
87,32,2,11,8,2,11,0,4,1,0,0,39,39
88,16,4,12,13,2,10,0,4,1,0,0,49,39
89,13,4,6,4,4,12,1,4,1,0,0,39,39
90,26,1,10,15,4,10,1,4,0,0,0,49,39
91,40,4,8,10,2,10,0,4,1,0,0,39,39
92,20,4,15,9,0,3,4,4,0,0,0,39,39
93,11,4,15,9,0,7,4,2,0,0,0,24,39
94,13,4,11,8,2,12,5,1,0,0,24,34,0
95,17,2,9,12,2,11,0,4,1,0,0,39,39
96,12,2,15,9,4,6,1,4,1,0,0,49,39
97,31,6,10,15,2,10,0,4,1,0,51,59,39
98,20,4,15,9,2,12,0,4,1,0,0,47,39
99,31,4,7,11,0,4,4,4,0,0,0,39,9
100,15,1,11,8,4,8,3,2,1,0,0,39,39
101,59,4,12,13,2,4,0,4,1,0,0,39,39
102,27,4,9,12,2,4,0,4,1,112,0,59,39
103,30,6,12,13,4,10,1,4,0,0,0,49,39
104,3,4,15,9,4,13,3,4,0,0,0,39,39
105,12,4,11,8,4,3,1,4,1,0,0,39,39
106,15,5,11,8,2,3,0,4,1,98,0,39,39
107,0,0,0,5,4,0,3,4,0,120,0,31,39
108,13,4,1,6,4,6,3,4,1,0,0,39,39
109,14,2,11,8,4,1,1,4,0,0,0,39,39
110,25,4,11,8,2,6,0,4,1,0,0,39,39
111,7,4,9,12,4,12,2,4,1,0,0,39,39
112,21,4,14,14,2,10,0,4,1,0,0,39,39
113,39,6,11,8,2,8,0,4,1,0,50,49,2
114,11,4,15,9,2,12,5,4,0,68,0,24,39
115,19,4,11,8,4,7,3,4,0,0,0,39,39
116,36,4,6,4,2,6,0,4,1,0,0,49,39
117,39,5,15,9,2,12,0,4,1,0,0,49,39
118,32,2,8,10,2,3,0,2,1,0,0,39,39
119,38,4,15,9,2,12,0,4,1,0,0,55,39
120,5,4,11,8,4,3,1,4,1,0,0,40,39
121,4,4,15,9,4,8,3,4,0,0,0,39,39
122,23,4,9,12,2,4,0,4,1,0,0,59,39
123,13,4,9,12,4,4,3,2,1,0,0,39,11
124,12,7,9,12,2,10,0,4,1,0,0,49,39
125,2,4,15,9,4,8,3,2,1,0,0,34,39
126,30,4,9,12,2,4,5,4,0,0,0,39,39
127,3,4,15,9,4,1,3,4,0,0,36,27,39
128,14,4,7,11,2,1,0,4,1,0,0,39,39
129,18,0,11,8,2,0,0,4,1,0,0,39,39
130,22,4,15,9,0,3,1,4,1,0,0,39,39
131,11,4,7,11,4,12,1,4,0,0,0,59,39
132,7,4,11,8,4,8,1,4,0,0,43,39,39
133,21,6,11,8,2,3,0,4,1,70,0,34,39
134,20,4,9,12,2,12,0,4,1,0,0,49,39
135,29,4,7,11,0,13,1,2,0,0,0,35,39
136,21,1,12,13,2,10,0,4,1,0,0,39,20
137,26,6,11,8,2,3,0,4,1,0,0,59,39
138,10,4,8,10,2,1,5,4,0,0,0,34,39
139,3,4,15,9,4,12,3,4,1,0,0,19,39
140,32,4,15,9,2,3,0,1,1,0,0,39,39
141,44,5,11,8,2,3,0,4,1,0,0,39,39
142,10,4,15,9,4,12,3,4,0,0,0,39,39
143,2,4,15,9,4,8,3,4,1,0,0,29,26
144,28,4,8,10,4,10,1,4,0,0,23,39,39
145,53,4,15,9,4,13,2,4,1,0,0,39,39
146,14,4,11,8,4,14,4,2,0,0,0,29,39
147,5,4,15,9,2,8,0,4,1,0,0,23,39
148,19,4,11,8,6,8,4,4,0,0,0,23,39
149,47,4,1,6,2,3,0,4,1,0,67,39,39
150,26,0,15,9,0,0,1,4,0,0,0,39,39
151,30,2,15,9,0,1,4,4,0,0,0,37,26
152,17,4,11,8,4,1,1,4,0,0,0,39,39
153,16,4,9,12,4,4,2,1,0,0,0,39,30
154,4,4,11,8,4,3,3,4,1,0,0,34,39
155,35,0,11,8,0,0,1,4,1,0,0,44,39
156,31,4,11,8,2,3,0,4,1,0,0,45,39
157,6,4,9,12,4,6,1,4,1,0,0,39,39
158,54,6,15,9,5,12,4,2,1,0,44,1,39
159,12,4,11,8,0,3,1,4,1,0,0,59,39
160,25,4,9,12,5,8,2,2,1,0,0,49,39
161,51,0,3,1,0,0,1,4,0,0,0,19,39
162,8,4,11,8,4,8,4,4,0,0,0,39,39
163,27,5,12,13,0,4,4,1,0,0,0,39,39
164,11,4,11,8,4,4,1,1,0,0,0,39,9
165,28,6,12,13,2,12,0,4,1,0,0,39,39
166,19,4,15,9,0,8,4,4,0,0,0,39,26
167,22,1,7,11,4,4,1,4,1,0,0,41,39
168,29,7,12,13,6,11,4,4,1,0,0,39,39
169,1,4,1,6,4,6,3,4,1,0,0,15,39
170,49,2,8,10,6,10,1,4,0,0,0,19,39
171,10,4,11,8,4,8,1,4,1,0,56,39,39
172,11,7,11,8,2,11,0,4,1,0,0,39,39
173,34,4,15,9,2,12,0,4,1,0,55,39,39
174,10,4,9,12,4,3,1,4,1,0,0,49,39
175,11,7,9,12,2,10,0,4,1,0,0,39,39
176,10,4,11,8,3,12,4,4,0,0,0,24,39
177,4,4,11,8,4,3,3,2,1,0,0,39,39
178,17,4,11,8,4,6,1,2,1,0,0,39,39
179,1,4,11,8,4,8,3,4,1,0,0,11,39
180,16,4,9,12,2,10,0,4,1,0,0,64,39
181,27,2,15,9,2,4,0,2,1,0,0,37,39
182,26,4,15,9,0,1,1,4,0,0,0,39,39
183,13,4,15,9,4,3,1,2,1,0,0,44,39
184,23,4,5,3,2,7,0,4,1,0,0,39,26
185,20,1,15,9,2,1,0,4,1,0,0,41,39
186,17,4,11,8,2,1,0,2,1,0,0,39,39
187,24,6,9,12,0,4,1,4,0,0,0,39,39
188,36,0,9,12,0,0,1,4,0,0,0,49,39
189,14,4,12,13,2,10,5,4,0,0,0,49,39
190,41,7,10,15,2,10,0,4,1,0,0,0,39
191,21,4,15,9,0,7,1,2,0,0,0,27,39
192,7,4,15,9,2,7,0,4,1,0,0,39,39
193,24,2,9,12,2,3,0,2,1,0,0,39,39
194,30,4,15,9,2,13,0,4,1,0,0,44,39
195,24,1,9,12,2,13,0,4,1,0,0,23,39
196,6,4,4,2,2,14,2,4,1,0,0,39,26
197,19,4,15,9,0,3,1,4,1,0,0,39,39
198,23,1,12,13,4,4,1,4,0,109,0,54,39
199,18,4,12,13,2,10,2,4,1,95,0,39,39
200,7,6,11,8,4,12,1,4,1,0,0,39,39
201,9,4,12,13,4,10,1,4,0,0,49,39,39
202,2,0,11,8,4,0,3,4,1,0,0,39,22
203,34,4,9,12,2,4,0,4,1,0,0,49,39
204,25,2,15,9,4,10,1,4,0,0,13,39,39
205,20,7,11,8,0,1,4,4,0,0,0,34,39
206,1,4,1,6,4,12,3,4,0,0,0,39,39
207,19,4,9,12,2,8,0,2,1,95,0,35,39
208,18,4,11,8,0,3,1,4,1,0,0,59,39
209,41,5,11,8,2,12,5,4,0,112,0,34,39
210,0,4,1,6,4,12,3,4,0,0,0,11,39
211,27,2,11,8,2,14,0,2,1,0,0,39,39
212,20,4,11,8,2,3,0,4,1,0,0,39,39
213,18,4,15,9,4,12,1,0,0,0,0,39,39
214,43,4,11,8,2,3,0,1,1,0,0,39,39
215,37,5,5,3,2,7,0,4,1,0,0,39,39
216,20,4,9,12,4,4,1,2,1,0,0,59,39
217,33,4,7,11,0,12,1,4,0,0,0,39,39
218,21,4,9,12,2,12,0,4,1,0,0,49,31
219,28,4,9,12,2,10,0,4,1,0,0,54,39
220,8,4,0,5,4,3,1,4,1,0,0,39,39
221,14,4,15,9,2,6,0,4,1,0,0,39,39
222,47,0,3,1,0,0,1,4,1,0,0,39,39
223,73,4,11,8,4,8,1,2,1,0,70,39,39
224,37,4,11,8,2,1,0,2,1,0,0,19,39
225,36,2,13,0,4,7,1,4,0,0,0,34,39
226,1,4,11,8,4,12,3,4,0,0,0,39,39
227,43,0,0,5,0,0,1,0,0,0,0,9,39
228,49,6,11,8,2,5,0,4,1,12,0,49,39
229,58,4,8,10,6,1,1,4,0,0,0,19,4
230,48,4,11,8,0,1,1,4,0,0,0,39,39
231,18,4,1,6,5,14,1,2,1,62,0,39,39
232,24,4,11,8,0,12,4,2,0,0,0,37,39
233,8,4,15,9,4,1,1,4,1,0,0,41,39
234,16,4,15,9,0,3,2,3,0,0,0,39,39
235,11,4,14,14,4,10,1,4,1,0,0,54,39
236,42,7,11,8,2,8,0,4,1,0,0,39,39
237,23,7,15,9,4,1,1,4,0,0,0,37,39
238,24,4,9,12,2,4,0,4,1,0,0,49,20
239,21,2,12,13,2,4,0,4,1,0,0,69,39
240,6,4,11,8,4,14,3,4,1,0,0,39,39
241,23,4,9,12,2,10,0,4,1,0,0,39,39
242,24,6,11,8,2,8,5,4,0,0,0,19,39
243,7,7,7,11,2,11,0,4,1,0,0,49,39
244,3,0,15,9,4,0,3,4,1,0,0,19,39
245,21,4,15,9,0,3,1,4,1,0,41,39,39
246,39,4,11,8,2,1,0,4,1,0,0,34,0
247,41,4,11,8,2,1,0,4,1,0,0,44,39
248,15,4,11,8,4,8,1,4,0,0,0,33,39
249,23,4,7,11,2,13,0,4,1,0,55,59,39
250,28,4,11,8,2,1,0,4,1,0,0,39,0
251,24,4,14,14,2,10,5,4,0,0,0,39,39
252,25,4,9,12,2,1,5,2,0,0,0,39,39
253,42,2,0,5,6,8,4,2,0,0,0,29,39
254,2,2,15,9,4,1,3,4,1,0,0,39,39
255,41,4,15,9,4,14,1,4,1,0,0,19,39
256,25,6,11,8,2,5,0,1,1,0,0,39,1
257,3,4,11,8,4,8,3,4,0,0,0,39,39
258,15,4,11,8,5,8,1,4,0,0,0,29,39
259,28,4,8,10,6,4,1,4,0,0,0,44,39
260,33,4,5,3,0,3,1,4,1,0,0,39,39
261,19,4,9,12,0,10,3,4,0,0,0,39,39
262,28,4,11,8,2,12,0,4,1,0,0,59,39
263,0,4,1,6,4,8,3,4,1,0,0,11,39
264,42,4,15,9,2,12,0,4,1,68,0,39,39
265,9,4,1,6,2,3,0,4,1,0,0,39,39
266,20,5,15,9,2,4,0,1,1,0,0,73,37
267,2,0,15,9,4,0,3,4,1,0,0,23,2
268,47,4,11,8,2,4,0,4,1,0,0,39,39
269,16,4,9,12,4,10,1,4,0,0,0,44,39
270,16,4,11,8,2,3,5,4,0,0,0,39,39
271,44,4,11,8,2,4,0,4,1,0,0,39,39
272,0,4,6,4,4,8,3,4,1,6,0,23,39
273,33,6,12,13,2,5,0,4,1,36,0,94,39
274,10,2,12,13,4,10,3,4,1,0,0,34,39
275,13,4,11,8,0,10,3,4,0,0,0,39,39
276,26,4,11,8,2,6,0,2,1,0,0,39,39
277,27,4,15,9,2,3,0,4,1,95,0,39,39
278,18,4,15,9,4,4,1,4,0,0,0,39,39
279,8,4,15,9,4,13,3,4,0,0,0,39,39
280,7,4,15,9,2,7,5,4,0,95,0,47,39
281,5,4,9,12,4,10,1,4,0,0,0,14,11
282,25,2,15,9,2,3,0,4,1,81,0,39,39
283,17,4,7,11,0,12,4,2,0,0,0,44,39
284,43,4,9,12,0,10,1,4,0,0,0,41,39
285,4,4,11,8,4,6,3,4,1,0,0,39,39
286,40,1,12,13,2,12,0,4,1,112,0,39,39
287,24,4,14,14,2,10,0,4,1,0,0,59,39
288,33,4,15,9,0,8,1,4,1,0,0,44,39
289,8,4,9,12,4,4,1,4,0,0,0,39,39
290,33,4,5,3,2,3,0,4,1,0,0,39,7
291,19,4,9,12,2,10,0,4,1,0,0,44,39
292,14,4,11,8,0,10,1,4,0,0,0,39,39
293,12,2,9,12,4,11,1,4,1,0,0,55,39
294,4,4,15,9,4,12,3,4,1,0,0,44,39
295,10,4,9,12,4,13,4,2,0,0,0,39,39
296,48,4,11,8,2,14,0,4,1,0,0,15,39
297,20,5,9,12,0,12,1,4,0,0,0,59,39
298,22,0,12,13,2,0,5,1,0,60,0,39,0
299,7,4,11,8,4,3,3,4,1,0,0,39,39
300,21,4,11,8,0,12,1,4,1,0,0,78,39
301,31,4,9,12,2,1,0,4,1,98,0,39,39
302,4,4,15,9,4,8,1,1,0,0,0,24,39
303,14,4,11,8,2,14,0,4,1,0,0,44,39
304,38,4,11,8,2,12,0,4,1,70,0,39,39
305,7,4,15,9,2,1,5,1,0,0,0,39,25
306,26,4,11,8,0,1,1,4,0,0,0,39,39
307,9,4,7,11,4,13,1,4,1,0,0,44,39
308,29,4,7,11,4,10,1,4,0,0,0,32,39
309,18,4,7,11,2,1,0,4,1,0,0,39,39
310,24,5,15,9,2,5,0,4,1,0,0,53,39
311,9,4,9,12,4,12,1,4,1,0,0,39,39
312,17,4,12,13,2,4,0,1,1,95,0,34,36
313,2,0,15,9,4,0,3,2,0,0,0,24,39
314,19,6,9,12,0,10,1,2,0,0,0,39,39
315,5,4,15,9,4,12,3,4,1,0,0,14,39
316,7,4,15,9,4,7,1,4,1,0,0,39,39
317,60,6,15,9,2,12,0,4,1,0,0,39,39
318,5,4,4,2,2,7,2,4,0,0,0,39,26
319,12,4,15,9,4,13,1,4,0,0,0,39,39
320,45,4,11,8,6,8,1,4,0,0,0,23,39
321,22,6,11,8,2,4,0,4,1,0,0,39,39
322,26,4,15,9,2,3,0,4,1,0,19,49,39
323,18,4,11,8,0,14,1,4,1,0,0,44,39
324,12,4,1,6,4,4,1,4,0,0,0,39,39
325,59,6,12,13,2,3,0,4,1,0,0,9,39
326,46,6,11,8,2,5,0,4,1,0,0,44,39
327,6,0,8,10,4,0,3,2,0,0,0,14,39
328,26,4,15,9,2,10,5,4,0,0,50,49,39
329,41,6,11,8,2,6,0,4,1,0,0,39,39
330,49,4,11,8,4,14,1,4,1,24,0,54,39
331,24,4,15,9,4,3,1,2,1,0,0,44,39
332,9,4,9,12,4,1,1,4,1,0,0,39,39
333,30,4,8,10,4,8,1,4,1,0,0,39,39
334,38,2,0,5,2,1,0,4,1,0,0,39,39
335,36,4,11,8,2,14,0,4,1,0,0,39,39
336,0,4,4,2,4,8,2,4,1,0,0,47,26
337,13,4,11,8,4,3,2,4,1,0,0,39,39
338,32,4,12,13,4,10,1,4,1,0,0,59,39
339,2,4,11,8,4,12,4,2,1,0,0,29,14
340,28,4,11,8,2,8,0,2,1,0,0,39,39
341,9,4,7,11,4,12,1,4,1,0,0,39,39
342,21,4,8,10,2,3,0,4,1,95,0,39,39
343,19,7,11,8,2,11,0,4,1,95,0,39,39
344,16,4,11,8,4,5,1,4,1,0,0,19,39
345,5,7,15,9,4,11,3,2,0,0,0,39,39
346,26,6,9,12,4,12,1,4,1,0,0,41,39
347,50,0,1,6,2,0,0,4,1,0,0,7,39
348,13,0,8,10,0,0,4,4,0,0,0,39,39
349,39,4,7,11,3,8,1,4,1,0,0,24,20
350,14,4,9,12,4,10,3,4,1,0,0,24,39
351,16,4,9,12,2,4,0,4,1,0,0,39,39
352,9,4,11,8,2,8,0,4,1,0,0,39,39
353,16,4,9,12,2,4,0,4,1,0,0,39,39
354,29,2,1,6,2,14,0,4,1,0,0,29,39
355,42,0,9,12,2,0,0,4,1,0,0,39,39
356,21,1,11,8,2,1,0,4,1,0,0,39,39
357,48,4,1,6,6,8,4,3,1,0,0,39,39
358,23,4,8,10,2,13,0,4,1,0,0,39,39
359,25,4,11,8,2,1,5,4,0,0,0,34,39
360,9,6,6,4,2,3,0,4,1,0,0,39,32
361,19,4,0,5,2,8,5,4,0,0,0,23,39
362,45,4,12,13,2,10,0,4,1,0,0,39,39
363,26,4,9,12,2,14,0,4,1,0,0,44,39
364,26,4,9,12,0,4,1,4,1,0,23,44,39
365,5,4,11,8,3,12,1,4,1,0,0,54,39
366,11,4,11,8,2,3,0,4,1,0,0,39,39
367,39,6,15,9,2,12,0,4,1,0,0,44,39
368,5,4,7,11,4,12,1,4,0,0,0,14,39
369,40,4,9,12,0,4,1,4,0,0,0,44,39
370,22,4,11,8,0,12,4,4,0,0,0,39,39
371,9,1,15,9,4,1,4,4,0,0,0,14,39
372,0,4,1,6,4,8,3,4,1,0,0,9,39
373,23,7,8,10,2,7,0,4,1,0,0,37,39
374,28,4,11,8,2,7,0,2,1,0,0,39,39
375,27,4,11,8,4,3,1,2,1,0,0,39,39
376,3,2,15,9,4,1,3,4,0,0,0,9,39
377,16,4,11,8,2,3,5,4,0,0,0,39,39
378,6,4,15,9,4,12,1,4,1,0,0,39,39
379,29,6,12,13,0,4,1,4,1,0,0,29,39
380,21,4,11,8,2,12,0,4,1,0,0,49,39
381,37,4,11,8,0,14,1,4,1,0,0,39,39
382,29,4,4,2,0,3,1,4,0,0,77,44,39
383,8,4,15,9,2,3,0,4,1,0,0,39,39
384,29,4,15,9,0,12,1,4,0,0,0,39,39
385,19,2,15,9,2,14,5,4,0,0,0,39,39
386,6,4,11,8,4,8,1,4,0,0,0,24,39
387,12,4,11,8,5,7,1,4,1,0,0,39,39
388,27,4,15,9,2,1,5,4,0,0,81,5,39
389,2,4,15,9,4,1,3,4,0,0,0,15,39
390,2,4,11,8,4,8,2,4,0,0,0,39,39
391,18,4,11,8,2,8,5,4,0,0,0,39,39
392,10,4,9,12,4,3,1,4,1,0,0,49,39
393,29,6,7,11,5,3,1,4,1,0,0,39,39
394,17,7,9,12,2,4,0,4,1,98,0,44,0
395,17,4,11,8,4,8,1,4,0,0,0,34,39
396,27,4,15,9,2,13,0,4,1,0,0,39,39
397,28,4,15,9,0,6,4,4,0,0,0,39,39
398,3,0,11,8,4,0,2,4,0,0,0,34,39
399,8,4,9,12,2,4,0,4,1,0,0,54,39
400,35,5,9,12,2,4,0,4,1,0,0,49,39
401,3,4,15,9,4,6,3,4,1,0,0,39,39
402,11,4,15,9,4,8,1,4,0,0,0,39,39
403,33,7,9,12,2,11,0,4,1,0,0,39,39
404,17,4,8,10,0,13,1,4,0,0,0,63,39
405,11,4,5,3,2,6,0,3,1,0,67,39,33
406,24,4,12,13,2,4,0,4,1,0,55,64,39
407,11,4,11,8,2,1,0,4,1,0,0,39,39
408,29,6,11,8,2,3,0,4,1,0,0,24,39
409,11,0,15,9,2,0,5,4,0,0,50,39,39
410,15,4,15,9,2,4,0,4,1,0,0,49,39
411,24,2,15,9,0,8,1,2,0,0,0,23,39
412,7,4,11,8,4,6,4,2,0,0,0,39,39
413,16,4,15,9,0,4,4,4,0,0,0,39,39
414,29,4,10,15,2,4,0,4,1,112,0,59,39
415,14,7,15,9,2,7,0,4,1,0,0,39,39
416,18,4,2,7,0,3,1,4,1,0,0,49,39
417,35,4,3,1,2,7,0,4,1,0,0,39,26
418,13,4,1,6,4,8,3,4,0,0,0,18,39
419,17,2,1,6,5,7,1,2,1,0,0,39,39
420,17,7,11,8,0,14,4,4,0,0,0,39,39
421,3,4,15,9,2,12,0,4,1,0,0,29,39
422,0,4,1,6,4,6,3,4,1,28,0,17,39
423,15,7,9,12,2,4,5,4,0,0,0,39,39
424,12,4,11,8,0,5,1,4,1,0,0,39,39
425,16,4,0,5,4,3,4,4,0,0,0,34,39
426,8,4,11,8,2,14,0,4,1,0,0,59,39
427,19,1,12,13,4,10,1,4,1,0,15,39,39
428,6,4,11,8,4,6,1,4,1,0,0,70,6
429,46,5,11,8,2,4,0,4,1,0,0,39,39
430,30,2,12,13,2,10,0,4,1,0,0,39,39
431,63,0,11,8,6,0,1,4,1,0,0,23,39
432,0,0,1,6,4,0,3,4,1,0,0,39,39
433,23,6,9,12,3,10,1,4,0,27,0,39,39
434,13,4,7,11,2,8,5,4,0,0,0,24,39
435,10,4,15,9,4,3,3,1,1,0,56,39,30
436,16,4,12,13,2,10,0,4,1,0,0,49,39
437,17,2,11,8,4,5,1,2,1,3,0,59,39
438,17,2,15,9,4,11,1,4,0,0,0,39,39
439,6,4,15,9,2,1,0,4,1,0,0,39,39
440,25,2,15,9,2,1,5,4,0,0,0,39,39
441,12,4,9,12,4,10,1,4,1,0,0,39,39
442,28,4,11,8,0,1,1,4,0,0,0,27,39
443,7,1,11,8,4,2,3,4,1,0,0,39,39
444,27,4,15,9,2,10,0,4,1,0,0,39,39
445,10,4,6,4,4,3,2,4,1,0,0,39,26
446,3,4,15,9,4,12,1,4,1,0,0,34,39
447,27,4,11,8,6,4,4,2,0,0,0,39,39
448,34,4,11,8,2,3,0,0,1,0,0,39,39
449,3,4,11,8,2,7,0,4,1,0,0,39,39
450,0,0,1,6,4,0,3,4,0,0,0,4,39
451,2,4,11,8,4,7,3,2,0,0,0,39,39
452,28,5,15,9,2,3,0,4,1,0,0,54,39
453,43,4,11,8,2,3,0,4,1,0,0,39,39
454,25,4,7,11,2,4,0,2,1,0,0,39,0
455,27,6,11,8,2,12,5,4,0,0,0,39,39
456,23,4,8,10,2,7,0,1,1,0,0,39,39
457,13,4,11,8,2,4,5,4,0,0,0,39,39
458,21,4,15,9,2,14,0,2,1,0,0,49,39
459,6,4,11,8,2,14,0,4,1,0,0,59,39
460,15,0,15,9,2,0,0,4,1,0,0,39,39
461,27,4,7,11,4,5,3,4,1,0,0,39,39
462,37,2,11,8,2,14,0,2,1,0,0,39,39
463,15,4,9,12,2,10,0,4,1,0,0,49,39
464,33,4,3,1,3,3,4,4,1,0,0,39,39
465,7,4,9,12,4,13,1,4,0,0,0,19,39
466,20,4,11,8,2,1,5,4,0,0,0,59,39
467,35,4,11,8,0,14,4,4,1,0,0,39,39
468,21,4,15,9,2,14,0,4,1,0,0,39,39
469,32,4,12,13,2,4,0,4,1,0,55,44,39
470,13,4,9,12,2,13,5,4,0,0,0,15,39
471,43,4,15,9,4,10,4,4,1,0,0,39,39
472,5,0,15,9,4,0,3,4,1,0,0,39,39
473,18,4,11,8,4,3,1,4,1,0,0,39,39
474,13,4,11,8,4,14,1,4,1,0,0,59,39
475,50,4,8,10,0,8,1,4,0,0,0,23,39
476,29,4,9,12,4,3,1,4,0,0,0,39,39
477,0,4,6,4,4,8,1,4,1,0,0,5,39
478,5,4,15,9,4,6,3,4,1,0,0,29,39
479,10,4,0,5,4,8,1,4,1,0,0,39,39
480,6,4,11,8,4,8,4,4,0,0,0,34,39
481,16,4,7,11,2,3,0,4,1,0,0,44,32
482,26,6,15,9,2,3,0,4,1,0,0,19,39
483,11,7,9,12,4,10,1,4,1,0,0,19,39
484,24,4,11,8,3,3,4,4,0,0,0,39,39
485,35,0,2,7,4,0,2,2,1,3,0,39,39
486,8,4,15,9,3,1,3,2,0,0,0,19,39
487,46,0,3,1,2,0,0,4,1,0,0,34,39
488,42,2,11,8,2,14,0,4,1,0,0,44,39
489,28,2,9,12,0,10,4,4,0,0,0,39,39
490,21,4,9,12,2,12,0,4,1,112,0,59,39
491,23,4,11,8,4,8,1,4,0,0,0,34,39
492,29,1,11,8,0,1,1,4,1,0,0,39,39
493,18,4,7,11,4,4,1,4,0,0,0,59,39
494,17,4,11,8,0,10,4,4,0,0,0,24,39
495,16,4,9,12,4,3,3,4,1,0,0,19,39
